Title,URL,Author,Date,Playbacks,Flash_comments,Duration,date_of_scraping
自称姜萍朋友，问姜萍真相了,https://www.bilibili.com/video/BV1Fz421z74K/,唯物史者1,· 6-22,1.7万,7,01:03:44,2024/06/26
六爻测姜萍,https://www.bilibili.com/video/BV1rT421a7rZ/,天水狂狂派命理创始人,· 6-18,5.3万,57,20:02,2024/06/26
牛头人老师眼中的姜萍数学老师王闰秋关于抽象程度弟子不必不如师的抽象代数证明解析,https://www.bilibili.com/video/BV1LE421N7FJ/,Zhao_Song,· 2小时前,379,1,05:07,2024/06/26
姜萍事件最新决定性证据，被自己人自爆！,https://www.bilibili.com/video/BV1oS411w7WZ/,最新速报,· 6-21,4.4万,1,01:07,2024/06/26
石锤！！姜萍是天才！！姜萍父亲透露女儿轻松答卷，赵斌发文道歉了！！！,https://www.bilibili.com/video/BV1Q4421Q7X4/,综艺娱乐官方,· 21小时前,10.5万,0,01:37,2024/06/26
官方也开始质疑姜萍了?【人民日报】报道姜萍的视频底下全是反转,https://www.bilibili.com/video/BV19E421P73L/,是绅士汤呀,· 9小时前,1.9万,0,01:16,2024/06/26
为什么凤凰网要在今天发布姜萍纪录片?,https://www.bilibili.com/video/BV1nb421p7gB/,是绅士汤呀,· 6-25,2.8万,4,01:35,2024/06/26
丧尽天良！姜萍粉丝大半夜开盒辱骂61岁脑梗老母亲！30秒开始！,https://www.bilibili.com/video/BV1wm42157ho/,最新速报,· 17小时前,1.7万,18,01:31,2024/06/26
百万粉丝博主因质疑凤凰网姜萍纪录片，其母亲深夜凌晨被电话轰炸！！！！,https://www.bilibili.com/video/BV1W6421Z7E1/,热门追踪后续,· 昨天,6091,1,02:04,2024/06/26
张雪峰评说姜萍，数学真的很需要天赋，有时候热度太高也不是好事,https://www.bilibili.com/video/BV1nz421z7Xq/,张雪峰谈专业考研,· 6-18,15.4万,149,06:00,2024/06/26
恕我直言-阿里巴巴达摩院、王闰秋必然涉嫌竞赛造假-一手消息-自己判断-姜萍-中专生,https://www.bilibili.com/video/BV15tgNexEbC/,博爱的坏蛋,· 6-19,2.2万,78,17:12,2024/06/26
姜萍太厉害了！,https://www.bilibili.com/video/BV1oYgReNELp/,杂交僵王头号粉丝,· 6-22,7555,3,07:09,2024/06/26
【终极解惑】姜萍事件，到底是真是假？,https://www.bilibili.com/video/BV1CZ421M7Dr/,司空离,· 6-19,14.6万,784,03:07,2024/06/26
全球第一名都支持姜萍了 ！没想到打脸...,https://www.bilibili.com/video/BV186421Z75s/,综艺娱乐官方,· 6-25,2754,1,04:47,2024/06/26
姜萍太厉害了！,https://www.bilibili.com/video/BV1oYgReNELp/,杂交僵王头号粉丝,· 6-22,7555,3,07:09,2024/06/26
【终极解惑】姜萍事件，到底是真是假？,https://www.bilibili.com/video/BV1CZ421M7Dr/,司空离,· 6-19,14.6万,784,03:07,2024/06/26
石锤！！姜萍是天才！！姜萍父亲透露女儿轻松答卷，赵斌发文道歉了！！！,https://www.bilibili.com/video/BV1Q4421Q7X4/,综艺娱乐官方,· 21小时前,10.5万,0,01:37,2024/06/26
姜萍事件可能二次反转！！姜萍父亲透露女儿说只有一题有点难！！！500万到手了！！！,https://www.bilibili.com/video/BV1vJ4m1u7ch/,热门追踪后续,· 6-25,1.3万,1,03:22,2024/06/26
全球第一名都支持姜萍了 ！没想到打脸...,https://www.bilibili.com/video/BV186421Z75s/,综艺娱乐官方,· 6-25,2754,1,04:47,2024/06/26
姜萍决赛结束，质疑却越闹越大！37名选手联名写公开信，为何？,https://www.bilibili.com/video/BV1T83qeME5h/,萌呆鬼畜猫,· 1小时前,300,0,04:20,2024/06/26
姜萍采访全程ai情绪识，理性看待，稍后我会发一个孙金元的做对比,https://www.bilibili.com/video/BV1eogkecExU/,babyQpat,· 6-20,10.7万,133,05:39,2024/06/26
大型纪录片之《姜萍传奇》(The Jumping Legend),https://www.bilibili.com/video/BV1Ub421H7kQ/,数之形,· 6-21,15.7万,33,01:03,2024/06/26
阿里达摩院难辞其咎，姜萍本人及支持质疑两派都没有错,https://www.bilibili.com/video/BV1xZ36e1ETZ/,老爵爷沉思录,· 9分钟前,116,0,04:03,2024/06/26
姜萍：小裁缝成天才？部分网友:“不行！她必须跌下神坛”,https://www.bilibili.com/video/BV1Ub421J7hb/,半耳聆,· 6-19,37.4万,2126,05:31,2024/06/26
五百万人看“姜萍”决赛。,https://www.bilibili.com/video/BV1zy411z7tY/,鬼邪君GL,· 6-23,14.1万,163,03:13,2024/06/26
阿里巴巴全球数学竞赛预赛韦神仅84分，姜萍的93分有多恐怖？#姜萍真的作弊了吗？#姜萍与王闰秋的数学奇迹,https://www.bilibili.com/video/BV1Mb421p7cM/,麦克阿瑟录纪片,· 6-18,18.5万,159,04:45,2024/06/26
姜萍事件已火到外网也开始质疑了,https://www.bilibili.com/video/BV1qw4m1e7UZ/,热门追踪后续,· 6-25,8628,1,01:28,2024/06/26
采访姜萍完整版：网上看到竞赛就想试一下，一试就成12名,https://www.bilibili.com/video/BV1zS411A739/,热门追踪后续,· 6-20,6184,6,07:07,2024/06/26
周飞董事长拜访姜萍父亲,https://www.bilibili.com/video/BV194421S71p/,赣鄱视界,· 6-16,10.1万,112,01:35,2024/06/26
姜萍的母校有多强，大型纪录片《涟水中专传奇》为您震撼播出,https://www.bilibili.com/video/BV1Pc3EeLEEa/,卖个阿sir记录生活,· 6-24,8940,207,01:27,2024/06/26
如果姜萍愿意，我可以破格娶了她,https://www.bilibili.com/video/BV1fm421V7j9/,是绅士汤呀,· 6小时前,8115,1,00:57,2024/06/26
六爻测姜萍,https://www.bilibili.com/video/BV1rT421a7rZ/,天水狂狂派命理创始人,· 6-18,5.3万,57,20:02,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1uH4y1w7gk/,甄机坊,· 7小时前,8269,6,08:21,2024/06/26
就算姜萍作弊，我也是姜萍的妈妈,https://www.bilibili.com/video/BV1iE421N7GF/,赛里斯抽象导师,· 19小时前,1.9万,8,00:44,2024/06/26
阿里数赛选手联名信。姜萍老师枪手田金方被通天代套话，此前拒绝伙同作弊,https://www.bilibili.com/video/BV1PZ421M78y/,亚洲老大李景亮,· 6-21,9.5万,29,02:47,2024/06/26
逆天笑话，数学天才变学术妲己？姜萍作弊传言愈演愈烈，Σ写错师生恋谣言,https://www.bilibili.com/video/BV1cS411A7PT/,铖糯,· 6-19,7.4万,42,02:23,2024/06/26
姜萍总决赛直播，360度无死角，根本不可能作弊!,https://www.bilibili.com/video/BV1KE421N7cS/,麦克瑟瑟传奇纪录片,· 6-23,6.1万,7,04:53,2024/06/26
