Title,URL,Author,Date,Playbacks,Flash_comments,Duration
采访姜萍完整版：网上看到竞赛就想试一下，一试就成12名,https://www.bilibili.com/video/BV1zS411A739/,热门追踪后续,· 6-20,6148,5,07:07,2024/06/26
狂魔哥评价姜萍数学竞赛获奖,https://www.bilibili.com/video/BV1qZ421g7JE/,魔导传媒,· 6-19,9.3万,61,00:55,2024/06/26
"户晨风被数学家姜萍事件震惊,这他妈也能造假?",https://www.bilibili.com/video/BV12n4y1X7oo/,支持姜萍版戶晨风,· 6-19,11.1万,108,06:46,2024/06/26
姜萍事件最终结局走向,https://www.bilibili.com/video/BV1jtgTePEyF/,傅里叶の级数,· 6-19,1.4万,28,10:42,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1zn4y1X7iC/,甄机坊,· 4小时前,3万,6,08:21,2024/06/26
姜萍真的是数学天才！！！达摩院wotaoyin教授出来作证了！！！,https://www.bilibili.com/video/BV1Rz421B7EJ/,娱乐前线突击,· 54分钟前,457,0,01:20,2024/06/26
丧尽天良！姜萍粉丝大半夜开盒辱骂61岁脑梗老母亲！30秒开始！,https://www.bilibili.com/video/BV1wm42157ho/,最新速报,· 9小时前,1.5万,15,01:31,2024/06/26
采访姜萍完整版：网上看到竞赛就想试一下，一试就成12名,https://www.bilibili.com/video/BV1zS411A739/,热门追踪后续,· 6-20,6148,5,07:07,2024/06/26
就算姜萍作弊，我也是姜萍的妈妈,https://www.bilibili.com/video/BV1iE421N7GF/,赛里斯抽象导师,· 11小时前,1.8万,7,00:44,2024/06/26
姜萍采访全程ai情绪识，理性看待，稍后我会发一个孙金元的做对比,https://www.bilibili.com/video/BV1eogkecExU/,babyQpat,· 6-20,10.6万,129,05:39,2024/06/26
姜萍事件之数竞圈彻底大洗牌！！！！,https://www.bilibili.com/video/BV1tm421V77i/,热门追踪后续,· 13小时前,1.2万,1,02:22,2024/06/26
【长视频】各种反转和针锋相对，盘点天才少女姜萍事件的来龙去脉。已被团建爆破，24秒处有说明。,https://www.bilibili.com/video/BV1cZ421M7r2/,老王聊天,· 6-23,6.1万,650,13:03,2024/06/26
彻底结束!!姜萍学校附近知情人士匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1JM4m1m7X1/,是绅士汤呀,· 昨天,5万,28,08:24,2024/06/26
全球第一名都支持姜萍了 ！没想到打脸...,https://www.bilibili.com/video/BV186421Z75s/,综艺娱乐官方,· 昨天,2721,1,04:47,2024/06/26
姜萍采访完整版（5分38秒）,https://www.bilibili.com/video/BV1LW421R7R7/,吾吾Official,· 6-19,15.6万,901,05:39,2024/06/26
姜萍事件已火到外网也开始质疑了,https://www.bilibili.com/video/BV1qw4m1e7UZ/,热门追踪后续,· 昨天,8597,1,01:28,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV19z421B7Xz/,甄机坊,· 5小时前,1.9万,1,08:21,2024/06/26
虚假的数学天才姜萍vs真正的数学天才刘奔,https://www.bilibili.com/video/BV1om421373r/,和美团拼了,· 6-19,12.2万,84,01:08,2024/06/26
姜萍。如果图里的是真事，那也姜萍也不配被可怜,https://www.bilibili.com/video/BV1nf421Q73u/,布茶-,· 6-21,8222,1,01:40,2024/06/26
姜萍事件可能二次反转！！姜萍父亲透露女儿说只有一题有点难！！！500万到手了！！！,https://www.bilibili.com/video/BV1vJ4m1u7ch/,热门追踪后续,· 昨天,1.3万,1,03:22,2024/06/26
姜萍成绩是否造假?世界记忆冠军大卫哥连麦阿里公司员工，这个员工说他也认为姜萍造假，但是矛盾应该指向谁确实是个需要认真思考的问题，大家觉得怎么样？,https://www.bilibili.com/video/BV1Cy411z7Ek/,甄机坊,· 6-20,9114,2,03:02,2024/06/26
姜萍事件彻底收尾！姜萍熟人匿名爆料！彻底结束这场闹剧-,https://www.bilibili.com/video/BV14s421T7o2/,是绅士汤呀,· 昨天,1.2万,6,15:02,2024/06/26
在姜萍身上，我看到了这个世界浓浓的“恶意”...,https://www.bilibili.com/video/BV1y4421S7xu/,苏离是酥梨,· 6-19,1.9万,158,05:48,2024/06/26
逆天笑话，数学天才变学术妲己？姜萍作弊传言愈演愈烈，Σ写错师生恋谣言,https://www.bilibili.com/video/BV1cS411A7PT/,铖糯,· 6-19,7.3万,42,02:23,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1di421e7y8/,是绅士汤呀,· 3小时前,1859,0,12:38,2024/06/26
姜萍∶没事儿少叨叨！影响我成绩,https://www.bilibili.com/video/BV1vAVpe7EQL/,南国有红豆豆,· 6-17,4.9万,83,00:42,2024/06/26
阿里数学竞赛决赛全方位揭秘，37名选手联名举报姜萍！,https://www.bilibili.com/video/BV1Rs421T7K5/,爱笑的筱桔,· 3小时前,1812,1,04:11,2024/06/26
天降神童姜萍，高纬度的灵魂。人类到底是什么？,https://www.bilibili.com/video/BV18i421e7ZH/,清谈idletalk,· 3小时前,394,0,07:23,2024/06/26
赵斌发文道歉！阿里力挺姜萍，姜萍被疑作假事件一波未平一波又起,https://www.bilibili.com/video/BV18v3FeuE2u/,龙哥爆社,· 昨天,1.6万,30,07:20,2024/06/26
